experiment,hour,date_of_week,date_of_month,month,device_make
0,15,4,3,7,69
0,5,6,5,7,2
0,22,2,8,7,12
0,15,4,3,7,27
1,10,4,3,7,12
0,11,5,4,7,19
1,7,6,5,7,12
1,9,1,7,7,58
0,15,4,3,7,12
0,21,2,8,7,12
0,6,4,10,7,63
1,3,6,5,7,12
0,5,6,5,7,12
1,7,0,6,7,63
0,10,6,5,7,12
1,20,5,4,7,12
0,15,4,3,7,31
0,15,4,3,7,12
1,8,3,9,7,12
1,2,4,10,7,12
0,14,3,9,7,12
1,15,4,10,7,12
0,8,4,10,7,61
0,18,6,5,7,65
0,7,5,4,7,61
1,12,1,7,7,12
0,15,4,3,7,12
1,6,6,5,7,12
0,15,4,3,7,45
0,3,5,4,7,12
0,15,4,3,7,33
0,8,6,5,7,62
0,17,1,7,7,12
1,19,2,8,7,12
0,9,2,8,7,91
0,15,4,3,7,12
0,15,4,3,7,78
0,18,2,8,7,41
1,10,6,5,7,12
0,15,4,10,7,12
0,8,5,4,7,12
1,9,5,4,7,12
0,15,4,3,7,108
1,10,3,9,7,62
1,15,5,4,7,12
1,17,3,9,7,45
1,6,5,4,7,32
1,20,2,8,7,12
0,15,4,3,7,31
0,6,1,7,7,12
1,23,5,4,7,12
1,9,4,3,7,12
0,15,4,3,7,12
0,15,4,3,7,66
1,5,4,10,7,12
1,14,2,8,7,12
0,1,6,5,7,63
1,23,1,7,7,12
1,16,5,4,7,12
0,13,5,4,7,50
1,11,4,3,7,12
1,18,5,4,7,12
0,15,4,3,7,12
0,16,5,4,7,12
0,15,4,3,7,16
0,10,6,5,7,65
0,15,4,3,7,108
1,20,2,8,7,12
1,9,3,9,7,12
0,2,0,6,7,83
0,5,6,5,7,12
1,11,5,4,7,12
0,12,6,5,7,74
0,1,3,9,7,80
1,17,2,8,7,12
1,1,1,7,7,65
1,22,2,8,7,72
0,19,3,9,7,92
1,18,3,9,7,78
0,15,4,3,7,12
1,21,3,9,7,12
1,9,6,5,7,12
0,16,1,7,7,31
0,15,4,3,7,12
0,15,4,3,7,12
0,14,2,8,7,49
0,15,4,3,7,12
1,18,3,9,7,12
0,4,2,8,7,41
0,11,4,10,7,12
0,15,4,3,7,12
1,3,0,6,7,12
0,15,4,3,7,6
1,5,0,6,7,12
0,15,4,3,7,12
0,10,6,5,7,12
1,16,3,9,7,12
1,17,2,8,7,64
1,20,2,8,7,12
0,11,5,4,7,108
0,10,0,6,7,12
1,9,0,6,7,12
1,4,6,5,7,21
1,8,4,10,7,69
0,15,4,3,7,65
1,1,4,10,7,12
0,15,4,3,7,12
0,15,4,3,7,105
0,15,2,8,7,12
0,4,3,9,7,12
0,15,4,3,7,12
1,19,2,8,7,12
1,7,6,5,7,12
0,15,4,3,7,12
0,15,4,3,7,74
1,3,3,9,7,12
0,15,4,3,7,90
1,1,1,7,7,92
0,20,1,7,7,12
1,3,5,4,7,12
0,11,5,4,7,108
0,7,4,10,7,12
1,5,3,9,7,12
1,4,4,10,7,61
1,4,4,10,7,12
0,15,4,3,7,12
0,9,3,9,7,40
1,1,4,10,7,12
1,18,2,8,7,12
1,13,5,4,7,63
0,5,2,8,7,12
0,18,6,5,7,76
0,17,2,8,7,12
1,18,2,8,7,59
1,11,3,9,7,31
1,13,2,8,7,12
1,21,6,5,7,12
1,21,3,9,7,12
0,15,4,3,7,61
1,13,3,9,7,35
1,9,5,4,7,46
1,17,2,8,7,12
1,4,0,6,7,12
0,12,3,9,7,12
1,9,6,5,7,25
0,13,4,10,7,12
0,14,4,10,7,108
1,8,4,3,7,12
0,15,4,3,7,12
1,8,6,5,7,65
0,5,5,4,7,25
1,16,3,9,7,72
1,7,3,9,7,74
1,10,0,6,7,88
0,8,1,7,7,12
0,8,5,4,7,104
1,11,5,4,7,73
1,7,4,3,7,12
0,15,4,3,7,50
0,15,4,3,7,12
1,0,4,3,7,12
1,4,4,10,7,89
1,17,3,9,7,47
1,6,3,9,7,12
1,15,2,8,7,12
0,15,4,3,7,12
0,15,4,3,7,88
1,6,5,4,7,12
0,15,4,3,7,65
0,15,4,3,7,12
1,14,5,4,7,84
1,13,6,5,7,63
0,15,4,3,7,63
1,5,0,6,7,12
0,21,3,9,7,12
1,5,5,4,7,65
0,11,5,4,7,68
0,21,1,7,7,12
1,7,2,8,7,89
0,21,2,8,7,12
0,7,2,8,7,12
0,15,4,3,7,61
0,15,4,3,7,40
1,18,1,7,7,12
0,7,4,10,7,12
0,2,3,9,7,12
1,4,6,5,7,12
1,9,3,9,7,23
1,23,3,9,7,12
1,3,0,6,7,68
1,0,4,3,7,12
0,15,4,3,7,2
1,13,1,7,7,51
0,15,4,3,7,12
1,2,5,4,7,12
0,3,5,4,7,12
1,11,4,10,7,39
1,15,2,8,7,12
0,0,6,5,7,12
1,15,4,10,7,58
0,7,1,7,7,12
1,8,2,8,7,12
0,15,4,3,7,12
1,14,6,5,7,41
0,12,5,4,7,1
1,19,5,4,7,62
1,11,3,9,7,12
1,14,6,5,7,12
1,6,4,3,7,52
